name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Tung oil tree extract (Vernicia fordii),t4,False,Experimental · Anti-inflammatory · Traditional,32,1,2,1,2,3,2,"The seeds contain alpha-eleostearic acid with demonstrated anticancer properties in cell studies. Used in traditional Chinese medicine topically for burns and skin conditions. However, the oil is highly toxic when ingested — severe GI irritation, liver and kidney damage have been documented. Some supplement companies have marketed it as an internal supplement despite the clear toxicity risk.",TOPICAL USE ONLY in traditional practice; oral ingestion is dangerous due to alpha-eleostearic acid toxicity,Do not ingest tung oil — it is toxic internally. Traditional use is external only. The anticancer cell-study results do not translate to safe oral supplementation. Multiple cases of poisoning from ingestion are documented.,
Pyrrolizidine alkaloid herbs (comfrey/borage/coltsfoot),t4,False,Liver veno-occlusive disease · Carcinogen · Cumulative toxicity,32,1,1,3,2,3,1,"Pyrrolizidine alkaloids (PAs) found in comfrey, borage, coltsfoot, butterbur (unpurified), and other herbs cause hepatic veno-occlusive disease — blood vessels in the liver become blocked, leading to liver failure. PAs are also confirmed genotoxic carcinogens. Toxicity is cumulative — damage accumulates silently over months before sudden liver failure. EFSA sets the margin of exposure as unacceptable at any intake level.",NO safe intake level — EFSA considers any PA exposure an unacceptable cancer risk; cumulative hepatotoxicity,"Avoid any supplement containing comfrey, borage seed oil (unless PA-free certified), coltsfoot, or gravel root. Butterbur must be PA-free (Petadolex brand). The damage is cumulative and silent until liver failure occurs.",
Androstenedione (prohormone),t4,False,Banned · Liver toxicity · Hormonal,31,2,1,1,3,1,1,"A testosterone precursor banned by the FDA and most sports organizations. Despite marketing claims, it does not reliably increase testosterone but does increase estrogen levels in men. Associated with liver damage, acne, and hormonal disruption. Classified as a controlled substance. There is no legitimate reason to use this supplement.","AVOID — banned substance; increases estrogen, not testosterone; liver toxicity risk",Do not take this supplement.,
Methyl-1-testosterone (oral steroid),t4,False,Liver failure · Illegal · Hormonal,31,2,1,1,3,1,1,"An oral anabolic steroid illegally sold as a supplement in some online marketplaces. Extremely toxic to the liver, with multiple cases of acute liver failure and death reported. Banned under the Anabolic Steroid Control Act. Possessing or selling this compound is a federal crime. No legitimate supplement should contain this ingredient.",AVOID — illegal anabolic steroid; causes severe liver damage and hormonal disruption,Do not take this supplement.,
SARMs (Selective Androgen Receptor Modulators),t4,False,Unlicensed anabolics,31,2,1,1,3,1,1,"Unapproved pharmaceutical compounds illegally sold as supplements or ""legal steroids."" None are approved for human use anywhere. FDA has documented liver failure, heart attacks, strokes, and death. Products frequently contain undisclosed anabolic steroids — a 2023 FDA analysis found 41% of tested SARM products contained unlisted steroids or pro-hormones. Avoid entirely.",AVOID entirely — illegal as dietary supplements; linked to liver failure and death; products are frequently adulterated,Do not take this supplement.,
Foxglove (Digitalis purpurea),t4,False,Cardiac glycoside · Fatal,31,1,1,2,5,1,1,Source plant for the cardiac drug digoxin. Contains cardiac glycosides that cause fatal arrhythmias at doses only slightly above therapeutic levels. Narrow margin of safety. Multiple annual deaths from people mistaking it for a safe herbal tea. Even the pharmaceutical version (digoxin) requires careful blood level monitoring. Never use the raw plant.,AVOID completely; contains cardiac glycosides that cause fatal arrhythmias; prescription digoxin requires blood monitoring,Do not take this supplement.,
Phenolphthalein (hidden laxative),t4,False,Carcinogen · Hidden ingredient · Weight loss,31,1,1,2,4,2,1,"A laxative removed from OTC sale in 1999 after animal studies showed it causes cancer. Still found as an undeclared ingredient in imported weight loss pills and teas — FDA has issued over 100 alerts. Causes severe diarrhoea, electrolyte imbalances, and was classified as a potential human carcinogen. If a weight loss tea or supplement causes dramatic bowel changes, it may contain phenolphthalein.",AVOID — removed from all markets as a potential carcinogen; found hidden in imported weight loss products,Do not take imported weight loss pills or teas that cause dramatic bowel changes — they may contain hidden phenolphthalein. Buy supplements only from regulated sources in your country.,
Apricot kernels/Laetrile (amygdalin),t4,False,Cyanide poisoning · Cancer fraud · Lethal,31,1,1,2,3,3,1,"Amygdalin in apricot kernels converts to hydrogen cyanide in the body. Marketed as ""vitamin B17"" or Laetrile for cancer treatment — this is a complete fraud debunked in multiple clinical trials including an NCI-sponsored study. EFSA warns that 3 small kernels can exceed the safe cyanide limit for adults. Multiple deaths and hundreds of cyanide poisoning cases documented globally. There is zero anti-cancer benefit.",AVOID — converts to cyanide in the body; 3 small kernels can exceed safe cyanide limits; zero cancer benefit proven,"Do not eat apricot kernels or take amygdalin/Laetrile. ""Vitamin B17"" does not exist — this is a fraudulent name. Multiple clinical trials proved no cancer benefit. Cyanide poisoning causes seizures, coma, and death.",
Androsterone,t3,False,Hormone · Pheromone claims,30,1,2,1,3,1,2,A weak androgen metabolite marketed as a prohormone and pheromone supplement. No clinical evidence supports meaningful testosterone-raising effects when taken orally. Pheromone claims in humans lack rigorous scientific support. Expensive with no demonstrated benefit. May be prohibited in some sports — check anti-doping rules before use.,No established effective dose; not recommended; lacks clinical evidence for any claimed benefit,"If taken, take with food. Timing is flexible. Check sports organisation rules — may be prohibited in competition.",
Aconitum (monkshood/aconite),t4,False,Lethal arrhythmia · TCM toxin · Cardiac arrest,30,1,1,1,5,2,1,"One of the most toxic plants used in traditional medicine. Contains aconitine which blocks sodium channel inactivation, causing fatal ventricular arrhythmias. Lethal dose in humans is approximately 1–2 mg of purified aconitine. Deaths occur within hours of ingestion. Still used in some TCM preparations (Fu Zi) after extensive processing to reduce toxicity, but unprocessed or improperly processed products are lethal.",NO safe self-medication dose; processed Fu Zi used only by expert TCM practitioners with extreme caution; raw aconite is lethal,Do not self-medicate with aconite in any form. Even processed TCM preparations require expert practitioner supervision. Accidental aconite poisoning from herbal products causes death within hours. Immediate emergency treatment required.,
"GHB precursors (1,4-butanediol/GBL)",t4,False,Respiratory arrest · Addiction · Date rape drug,30,1,1,1,5,2,1,"1,4-Butanediol and gamma-butyrolactone are industrial solvents that convert to GHB in the body. Sold online as ""dietary supplements"" for sleep and muscle growth. Cause rapid sedation, respiratory depression, coma, and death — especially when combined with alcohol. Highly addictive with life-threatening withdrawal syndrome requiring medical detoxification. Classified as date rape drugs.","AVOID — converts to GHB; causes respiratory arrest, coma, and death; highly addictive with lethal withdrawal","Do not take any product containing 1,4-butanediol, GBL, or GHB precursors. Life-threatening when combined with alcohol. Withdrawal requires medical supervision. These are controlled substances in most jurisdictions.",
